name,author,narrator,releasedate,language,price,rating_stars,n_ratings,time_mins
Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies from Outer Space,DavPilkey,"LenForgione,DazjonFreeman,BenD'Amico",2018-07-31,English,3.096,4.0,5.0,55
Famous Mistakes,CarolynKeene,JorjeanaMarie,2019-01-15,English,3.66,5.0,5.0,185
Minecraft: The Lost Journals,MurLafferty,EmilySchaffer,2019-11-07,English,10.656,4.5,7.0,429
The Witch's Boy,KellyBarnhill,RalphLister,2020-06-25,English,15.936,5.0,1.0,598
The Hive Queen,TuiT.Sutherland,ShannonMcManus,2018-12-26,English,7.032,5.0,8.0,413
Nightfall,ShannonMessenger,CaitlinKelly,2018-06-11,English,14.040000000000001,5.0,14.0,1252
The Curse of the Ancient Emerald,FranklinW.Dixon,TimGregory,2016-05-23,English,3.66,5.0,4.0,173
The Last Kids on Earth and the Skeleton Road,"MaxBrallier,DouglasHolgate-illustrator",RobbieDaymond,2020-09-15,English,9.048,5.0,1.0,262
Doctor Who: Thirteen Doctors 13 Stories,"NaomiAlderman,MalorieBlackman,HollyBlack,",fullcast,2019-07-03,English,9.84,5.0,1.0,857
The Gray Hunter's Revenge,FranklinW.Dixon,TimGregory,2018-09-10,English,3.66,5.0,3.0,196
Magisterium: The Iron Trial,"CassandraClare,HollyBlack",PaulBoehmer,2015-10-29,English,9.024000000000001,4.5,6.0,637
Mr. Lemoncello's Great Library Race,ChrisGrabenstein,"JesseBernstein,ChrisGrabenstein",2017-10-10,English,12.06,5.0,4.0,406
The Fourth Closet,"ScottCawthon,KiraBreed-Wrisley",SuzanneEliseFreeman,2018-06-26,English,7.032,5.0,2.0,608
Power of the Fire Dragon,TraceyWest,EmilyEllet,2020-02-06,English,1.968,4.0,1.0,47
Magisterium: The Golden Tower,"CassandraClare,HollyBlack",PaulBoehmer,2018-06-09,English,8.196,5.0,2.0,438
The Troll,JuliaDonaldson,AlexJennings,2010-03-09,English,3.876,5.0,2.0,31
Lockwood & Co.,JonathanStroud,KatieLyons,2014-09-25,English,9.024000000000001,5.0,3.0,697
Ben Braver and the Vortex of Doom,MarcusEmerson,RamondeOcampo,2020-08-25,English,5.628,5.0,1.0,262
The Magic Misfits: The Second Story,NeilPatrickHarris,"NeilPatrickHarris,ChristinaHendricks",2018-09-25,English,7.968,5.0,2.0,333
Tiger's Curse,ColleenHouck,"AnnikaBoras,SanjivJahveri",2011-04-05,English,12.036,5.0,1.0,941
Just William - More William,RichmalCrompton,MartinJarvis,2009-09-02,English,6.144,5.0,1.0,304
Public Enemy Number Two,AnthonyHorowitz,NickolasGrace,2008-04-22,English,7.968,5.0,1.0,267
Mercy Watson #3,KateDiCamillo,RonMcLarty,2007-08-06,English,2.4,5.0,2.0,20
A to Z Mysteries: The Zombie Zone,RonRoy,DavidPittu,2011-08-03,English,4.824,4.0,1.0,61
Wizard for Hire,ObertSkye,KirbyHeyborne,2018-06-03,English,9.84,4.5,2.0,572
The Jungle Book,RudyardKipling,RhashanStone,2018-05-31,English,7.38,3.0,1.0,300
LEGO Ninjago: Brick Adventures #1: Brother/Sister Squad,MeredithRusu,"CassandraMorris,LucienDodge",2018-05-22,English,1.968,5.0,1.0,31
The Emperor of Nihon-Ja,JohnFlanagan,WilliamZappa,2012-07-27,English,8.424,5.0,1.0,806
The Missing Prince,JohnFlanagan,JohnKeating,2020-03-11,English,9.564,4.0,2.0,519
The Star of Kazan,EvaIbbotson,RuthJones,2008-04-29,English,3.876,5.0,1.0,385
Shoe Wars,LizPichon,JoannaScanlon,2021-04-27,English,12.756,5.0,1.0,303
"Fablehaven, Book 2",BrandonMull,E.B.Stevens,2013-05-24,English,5.6160000000000005,5.0,1.0,712
Winter Turning,TuiT.Sutherland,ShannonMcManus,2017-01-01,English,7.032,4.5,10.0,450
"The 39 Clues, Book 7",PeterLerangis,DavidPittu,2010-02-02,English,5.6160000000000005,5.0,7.0,296
Trust No One,LindaSuePark,DavidPittu,2012-04-12,English,7.032,5.0,1.0,281
Hansel and Gretel,BrothersGrimm,KatieHaigh,2015-12-17,English,2.244,4.0,1.0,17
The 39 Clues: Flashpoint,GordonKorman,DavidPittu,2014-01-09,English,4.92,4.5,2.0,335
Earthquake,RuskinBond,RuskinBond,2019-04-12,English,2.4,5.0,2.0,42
Stolen Identity,FranklinW.Dixon,TimGregory,2018-02-20,English,3.66,5.0,6.0,167
The 39 Clues,C.AlexanderLondon,DavidPittu,2015-01-08,English,5.208,5.0,2.0,289
George's Cosmic Treasure Hunt,"LucyHawking,StephenHawking","JamesGoode,LucyHawking",2009-03-28,English,7.38,5.0,1.0,368
Magisterium: The Copper Gauntlet,"CassandraClare,HollyBlack",PaulBoehmer,2016-10-20,English,8.196,5.0,4.0,501
Stormspeaker,ChristinaDiazGonzalez,NicolaBarber,2018-01-30,English,5.34,5.0,1.0,296
Black Beauty,AnnaSewell,RalphCosham,2011-12-22,English,8.016,4.0,1.0,321
The Count of Monte Cristo,AlexandreDumas,BillHomewood,2000-10-26,English,3.996,5.0,1.0,158
The Boy Who Dreamed of Dragons,AndyShepherd,EwanGoddard,2020-11-06,English,6.828,5.0,1.0,244
George and the Blue Moon,"LucyHawking,StephenHawking","RoyMcMillan,SophieAldred",2017-02-03,English,8.196,4.5,2.0,427
Escaping Peril,TuiT.Sutherland,ShannonMcManus,2016-04-02,English,6.9,5.0,6.0,422
Rise and Fall,EliotSchrefer,NicolaBarber,2015-01-01,English,5.904,4.0,1.0,310
George and the Unbreakable Code,"LucyHawking,StephenHawking","RoyMcMillan,SophieAldred",2016-07-28,English,8.196,5.0,2.0,414
George and the Ship of Time,LucyHawking,"RoyMcMillan,SophieAldred",2018-03-05,English,8.196,5.0,2.0,461
Shadows at Predator Reef,FranklinW.Dixon,TimGregory,2016-05-23,English,3.66,5.0,8.0,173
Charlie Cook's Favourite Book,"JuliaDonaldson,AxelScheffler","ImeldaStaunton,StevenPacey",2008-10-23,English,3.876,5.0,2.0,17
Ringo & the Yogi,PrasunRoy,SiddhantaPinto,2019-11-19,English,0.0,4.0,4.0,318
The Miraculous Journey of Edward Tulane,KateDiCamillo,JudithIvey,2006-01-01,English,6.0120000000000005,4.5,2.0,115
The Mercy Watson Collection,KateDiCamillo,RonMcLarty,2006-01-01,English,6.024,5.0,2.0,40
The Green Ember,S.D.Smith,JoelClarkson,2015-04-02,English,8.016,4.5,3.0,475
The Burning Tide,JonathanAuxier,NicolaBarber,2016-09-13,English,5.904,5.0,1.0,279
My Side of the Mountain,JeanCraigheadGeorge,MichaelCrouch,2017-05-12,English,9.048,5.0,4.0,276
Magisterium: The Silver Mask,"CassandraClare,HollyBlack",PaulBoehmer,2017-12-10,English,8.196,5.0,4.0,434
Battle for Loot Lake: An Unofficial Fortnite Adventure Novel,DevinHunter,RamondeOcampo,2018-09-18,English,7.0200000000000005,5.0,2.0,127
The Magic Misfits: The Minor Third,NeilPatrickHarris,"NeilPatrickHarris,TreyHall",2019-10-09,English,7.968,5.0,1.0,318
Hurricane Heroes in Texas,MaryPopeOsborne,MaryPopeOsborne,2018-07-08,English,4.824,5.0,1.0,73
Attack of the Bayport Beast,FranklinW.Dixon,TimGregory,2017-03-20,English,3.66,5.0,4.0,158
"The 39 Clues, Book 8: The Emperor's Code",GordonKorman,DavidPittu,2010-06-04,English,5.6160000000000005,5.0,4.0,297
City of the Plague God,SarwatChadda,VikasAdam,2021-01-22,English,11.16,4.5,5.0,623
Spirit Animals,MaggieStiefvater,NicolaBarber,2014-01-01,English,5.904,5.0,2.0,316
Wild Born,BrandonMull,NicolaBarber,2013-10-09,English,5.904,4.5,3.0,336
Point Blanc,AnthonyHorowitz,OliverChris,2020-01-30,English,6.828,5.0,6.0,340
A to Z Mysteries: The Invisible Island,RonRoy,DavidPittu,2019-12-08,English,4.824,5.0,1.0,55
Grandpa's Great Escape,DavidWalliams,"DavidWalliams,NitinGanatra,MichaelGambon",2015-09-24,English,4.524,5.0,2.0,349
"Cahills vs. Vespers, Book 6: Day of Doom",DavidBaldacci,DavidPittu,2013-05-03,English,7.032,5.0,4.0,383
The Smartest Kid in the Universe,ChrisGrabenstein,KirbyHeyborne,2020-01-12,English,10.848,5.0,3.0,347
The Vanishing Game,FranklinW.Dixon,TimGregory,2015-02-11,English,3.66,5.0,6.0,187
The Sign in the Smoke,CarolynKeene,JorjeanaMarie,2016-10-05,English,3.66,4.5,7.0,271
Ark Angel,AnthonyHorowitz,OliverChris,2020-01-30,English,7.74,4.5,3.0,502
Minecraft: The End,CatherynneM.Valente,EmilySchaffer,2019-05-12,English,10.656,4.5,6.0,491
When Did You See Her Last?,LemonySnicket,LiamAiken,2013-10-18,English,5.0040000000000004,5.0,1.0,262
Ratburger,DavidWalliams,"DavidWalliams,NitinGanatra",2012-09-19,English,3.192,5.0,1.0,219
Against the Tide,TuiT.Sutherland,NicolaBarber,2014-01-10,English,5.904,4.0,1.0,298
